PID,seed_id,zoo_id,zoo_type,test_id,test_type,response,prims
96,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",4,A+180,1,"[8, 7, 0, 4]"
83,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",4,A+180,1,"[8, 7, 0, 4]"
76,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",4,A+180,1,"[8, 7, 0, 4]"
65,2,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",4,A+180,1,"[1, 5, 6, 2]"
68,2,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",4,A+180,1,"[1, 5, 6, 2]"
56,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",4,A+180,1,"[8, 7, 0, 4]"
88,4,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",4,A+180,1,"[2, 1, 4, 5]"
54,2,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",4,A+180,1,"[1, 5, 6, 2]"
44,1,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",4,A+180,1,"[8, 2, 5, 6]"
100,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",4,A+180,1,"[8, 7, 0, 4]"
63,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",4,A+180,1,"[8, 7, 0, 4]"
72,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",4,A+180,0,"[8, 7, 0, 4]"
90,4,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",4,A+180,1,"[2, 1, 4, 5]"
55,4,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",4,A+180,1,"[2, 1, 4, 5]"
75,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",4,A+180,1,"[8, 7, 0, 4]"
64,0,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,1,"[8, 4, 7, 2]"
40,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,0,"[8, 7, 0, 4]"
60,1,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,0,"[8, 2, 5, 6]"
51,4,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,0,"[2, 1, 4, 5]"
47,1,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,0,"[8, 2, 5, 6]"
34,2,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,1,"[1, 5, 6, 2]"
89,4,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,1,"[2, 1, 4, 5]"
86,0,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,0,"[8, 4, 7, 2]"
67,1,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,1,"[8, 2, 5, 6]"
74,1,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,0,"[8, 2, 5, 6]"
66,4,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,1,"[2, 1, 4, 5]"
69,0,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,1,"[8, 4, 7, 2]"
38,1,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,0,"[8, 2, 5, 6]"
92,4,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,0,"[2, 1, 4, 5]"
59,2,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,1,"[1, 5, 6, 2]"
42,2,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,0,"[1, 5, 6, 2]"
96,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,1,"[8, 7, 0, 4]"
83,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,0,"[8, 7, 0, 4]"
76,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,1,"[8, 7, 0, 4]"
65,2,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,0,"[1, 5, 6, 2]"
68,2,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,1,"[1, 5, 6, 2]"
56,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,0,"[8, 7, 0, 4]"
88,4,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,0,"[2, 1, 4, 5]"
54,2,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,0,"[1, 5, 6, 2]"
44,1,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,1,"[8, 2, 5, 6]"
100,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,1,"[8, 7, 0, 4]"
63,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,0,"[8, 7, 0, 4]"
72,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,0,"[8, 7, 0, 4]"
90,4,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,1,"[2, 1, 4, 5]"
55,4,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,0,"[2, 1, 4, 5]"
75,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",5,AA0+0,0,"[8, 7, 0, 4]"
64,0,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,1,"[8, 4, 7, 2]"
40,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,0,"[8, 7, 0, 4]"
60,1,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,0,"[8, 2, 5, 6]"
51,4,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,0,"[2, 1, 4, 5]"
47,1,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,0,"[8, 2, 5, 6]"
34,2,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,1,"[1, 5, 6, 2]"
89,4,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,1,"[2, 1, 4, 5]"
86,0,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,0,"[8, 4, 7, 2]"
67,1,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,1,"[8, 2, 5, 6]"
74,1,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,0,"[8, 2, 5, 6]"
66,4,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,1,"[2, 1, 4, 5]"
69,0,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,1,"[8, 4, 7, 2]"
38,1,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,0,"[8, 2, 5, 6]"
92,4,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,0,"[2, 1, 4, 5]"
59,2,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,1,"[1, 5, 6, 2]"
42,2,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,0,"[1, 5, 6, 2]"
96,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,1,"[8, 7, 0, 4]"
83,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,0,"[8, 7, 0, 4]"
76,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,1,"[8, 7, 0, 4]"
65,2,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,0,"[1, 5, 6, 2]"
68,2,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,1,"[1, 5, 6, 2]"
56,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,0,"[8, 7, 0, 4]"
88,4,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,0,"[2, 1, 4, 5]"
54,2,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,0,"[1, 5, 6, 2]"
44,1,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,1,"[8, 2, 5, 6]"
100,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,1,"[8, 7, 0, 4]"
63,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,0,"[8, 7, 0, 4]"
72,3,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,0,"[8, 7, 0, 4]"
90,4,10,"['A+0', 'A+90', 'A+270', 'A+90', 'A+0', 'A+270']",6,AA1+0,1,"[2, 1, 4, 5]"
